mora_60,dias_atraso_12_meses_antes,situacion_casa,edad,fecha_ingreso_empleo,antiguedad_tc_meses,producto_pasivo_12_meses_antes,ingreso_mensual,monto_linea_tc,monto_saldo_deudor_prom,score_aprob_tc,nro_veces_abono_12m_antes,zona_geografica,riesgos_sbs,nivel_educativo,edad_binned
0,1,FAMILIAR,27,2006-04-03,0,12,1032.6,4295.86,127.0,175,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,21,2007-10-01,0,12,2100.0,0.0,6294.66,190,0,Lima,0,SUPERIOR,joven
0,9,FAMILIAR,29,2004-10-01,29,4,1800.0,6184.6,896.17,188,3,Lima,2,PROFESIONAL,joven
0,2,PROPIA,38,2005-04-06,0,12,2200.0,1000.0,2191.17,211,12,Huanuco,0,EDUCACION BASICA,joven
0,0,FAMILIAR,28,2005-09-01,3,12,3800.0,5404.23,3314.83,219,9,Lima,2,PROFESIONAL,joven
0,0,PROPIA,33,2003-05-01,12,12,5600.0,36200.0,16382.84,219,12,Lima,2,PROFESIONAL,joven
0,2,PROPIA,23,2004-04-01,0,12,800.0,0.0,2280.88,211,12,Lima,0,TECNICO,joven
0,0,PROPIA,44,2000-01-01,0,12,2100.0,0.0,0.0,168,0,Lima,0,TECNICO,adulto
0,0,PROPIA,31,2007-07-02,6,12,900.0,0.0,2090.34,194,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,49,1994-11-01,0,0,2000.0,2104.39,1189.17,185,0,Lima,0,PROFESIONAL,adulto
0,0,PROPIA,39,2007-02-01,0,12,1148.31,0.0,1279.78,196,12,Junin,0,TECNICO,joven
0,0,FAMILIAR,29,2005-01-01,24,12,1604.5,2199.0,0.0,180,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,24,2006-10-01,0,12,1511.16,0.0,7953.25,151,12,Pasco,0,EDUCACION BASICA,joven
0,2,FAMILIAR,25,2004-01-01,0,12,1266.15,0.0,4947.87,156,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,32,2005-02-01,0,12,950.0,979.17,3876.3,175,12,Ica,0,TECNICO,joven
0,1,PROPIA,22,2006-05-09,0,12,967.18,1840.0,0.0,175,12,Lima,0,TECNICO,joven
0,2,FAMILIAR,36,1997-03-01,0,12,1200.0,0.0,1862.32,170,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,28,2005-05-18,0,12,801.49,0.0,951.03,175,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,40,2001-09-01,22,0,750.0,547.47,0.0,203,0,Callao,0,TECNICO,joven
0,2,PROPIA,32,2000-05-01,0,12,1980.0,0.0,12203.76,199,12,La Libertad,0,TECNICO,joven
0,0,FAMILIAR,27,2005-03-01,13,12,1400.0,765.88,2523.65,174,12,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,27,2002-08-08,31,12,736.93,2238.58,0.0,169,12,Lima,0,TECNICO,joven
0,13,FAMILIAR,50,2002-04-01,0,0,1160.0,0.0,0.0,186,0,Lima,1,PROFESIONAL,adulto
0,0,FAMILIAR,40,2004-08-01,93,12,2500.0,8262.0,5134.2,197,12,Lima,0,SUPERIOR,joven
0,2,PROPIA,45,2005-07-01,0,12,2100.0,4450.0,18010.11,229,12,Piura,0,PROFESIONAL,adulto
0,0,FAMILIAR,49,1990-01-01,8,12,4400.0,207.96,1398.16,195,12,Lima,0,PROFESIONAL,adulto
0,0,FAMILIAR,25,2006-07-01,0,12,1524.72,3690.0,5796.72,184,12,Lima,0,EDUCACION BASICA,joven
0,2,FAMILIAR,31,2003-09-01,0,12,1300.0,1900.0,4454.31,175,12,Lima,1,TECNICO,joven
0,1,FAMILIAR,31,2004-06-01,10,12,1350.0,0.0,1770.29,175,12,Lima,0,TECNICO,joven
0,2,PROPIA,41,2004-12-01,0,12,1200.0,0.0,2103.24,199,12,La Libertad,4,TECNICO,joven
0,32,FAMILIAR,32,1999-10-01,66,12,1680.0,2544.2,0.0,209,11,Lima,2,SUPERIOR,joven
0,0,PROPIA,40,2005-03-01,61,12,2900.0,5172.05,1685.48,216,7,Callao,0,PROFESIONAL,joven
0,2,PROPIA,32,2005-05-01,0,12,1324.67,0.0,2609.61,196,11,Huancavelica,0,TECNICO,joven
0,0,PROPIA,24,2005-03-01,44,12,5050.0,12510.24,390.01,209,12,Lima,0,TECNICO,joven
0,33,PROPIA,40,1991-11-01,80,0,19500.0,19729.88,3055.31,230,0,Lima,2,PROFESIONAL,joven
0,0,PROPIA,44,1992-01-01,0,0,2000.0,2698.28,10326.06,204,0,Lima,0,PROFESIONAL,adulto
0,0,FAMILIAR,28,2004-07-01,14,12,1800.0,2911.91,0.0,202,12,Lima,0,PROFESIONAL,joven
0,9,FAMILIAR,25,2003-08-01,23,4,2500.0,2681.32,260.23,206,3,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,29,2004-11-01,14,12,5600.0,251.77,340.72,214,0,Junin,0,SUPERIOR,joven
0,0,FAMILIAR,35,2005-02-01,0,12,1400.0,0.0,7833.49,199,12,Cajamarca,0,TECNICO,joven
0,0,FAMILIAR,29,2004-02-01,48,12,6989.4,16399.64,0.0,193,12,Lima,1,PROFESIONAL,joven
0,9,FAMILIAR,27,2007-01-01,19,12,2224.3,14100.17,4005.58,200,9,Callao,2,PROFESIONAL,joven
0,0,FAMILIAR,31,2003-10-01,15,12,3100.0,515.88,196.58,201,12,Puno,0,PROFESIONAL,joven
0,2,FAMILIAR,51,2005-04-01,0,12,1200.0,2850.0,1042.89,188,11,Lima,1,PROFESIONAL,adulto
0,0,PROPIA,52,2005-01-01,0,12,2800.0,3191.15,0.0,214,7,Lima,0,TECNICO,adulto
0,0,FAMILIAR,38,2006-01-01,9,7,1350.0,5505.04,389.15,185,7,Lima,0,SUPERIOR,joven
0,0,PROPIA,41,2002-05-01,36,12,1787.0,7780.68,2560.06,204,11,Lima,0,TECNICO,joven
0,0,PROPIA,33,2001-04-01,79,12,5200.0,3084.13,1078.39,225,12,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,40,2000-01-01,0,12,2100.0,2327.28,0.0,216,0,Lima,1,TECNICO,joven
0,0,FAMILIAR,36,1997-05-01,0,12,2500.0,0.0,7574.82,187,10,Ancash,0,TECNICO,joven
0,8,FAMILIAR,37,2007-02-01,11,10,10500.0,86975.05,7484.61,216,0,Lima,1,PROFESIONAL,joven
0,0,FAMILIAR,60,2003-03-01,78,0,857.36,745.6,0.0,172,0,Arequipa,1,PROFESIONAL,adulto
0,0,FAMILIAR,29,2006-02-01,0,12,1550.0,4148.18,0.0,177,12,Lima,0,TECNICO,joven
0,18,FAMILIAR,37,2005-02-01,13,0,3200.0,14175.49,1907.22,196,0,Lima,1,PROFESIONAL,joven
0,0,PROPIA,29,2006-01-01,0,12,1362.9,0.0,434.6,196,12,Ica,3,TECNICO,joven
0,0,FAMILIAR,37,2006-10-01,0,12,3249.43,0.0,7328.63,182,8,Lima,0,TECNICO,joven
0,2,FAMILIAR,33,2006-06-28,0,12,2152.0,14018.38,6511.45,192,12,Ucayali,1,TECNICO,joven
0,0,FAMILIAR,27,2008-07-01,12,12,1207.65,0.0,6508.35,169,10,Lima,0,TECNICO,joven
0,0,OTRAS,34,2007-05-16,53,1,7055.0,30053.51,57094.38,175,0,Lima,1,TECNICO,joven
0,0,FAMILIAR,38,2005-09-01,0,12,1182.36,2180.72,1733.79,177,12,Callao,3,TECNICO,joven
0,0,FAMILIAR,28,2000-01-01,0,12,1500.0,6365.69,6276.19,177,12,Lima,1,TECNICO,joven
0,0,PROPIA,23,2008-01-01,0,12,1017.03,750.0,579.23,173,11,Callao,0,TECNICO,joven
0,0,FAMILIAR,23,2007-02-23,0,12,944.29,5598.05,258.87,156,12,Callao,0,TECNICO,joven
0,8,FAMILIAR,29,2005-03-01,57,2,2111.0,7442.55,206.86,207,0,Lima,1,SUPERIOR,joven
0,0,FAMILIAR,24,2007-03-01,0,12,2506.18,0.0,3419.02,181,12,Lima,0,PROFESIONAL,joven
0,0,PROPIA,46,2000-01-01,87,12,13500.0,19479.76,7942.84,228,12,Lima,4,TECNICO,adulto
0,32,PROPIA,32,2004-08-01,14,12,1200.0,0.0,0.0,194,12,Junin,2,TECNICO,joven
0,0,FAMILIAR,23,2007-08-01,0,12,1244.27,692.36,1302.18,156,12,Lima,1,TECNICO,joven
0,2,PROPIA,23,2007-03-01,11,12,2245.74,5104.86,18475.97,204,12,Huanuco,0,TECNICO,joven
0,0,PROPIA,25,2005-07-13,0,12,1270.43,1200.0,2526.82,188,12,Lima,0,TECNICO,joven
0,2,PROPIA,52,2002-09-01,0,12,2974.96,0.0,1984.65,199,12,Ucayali,0,TECNICO,adulto
0,0,FAMILIAR,34,1995-09-01,20,12,2200.0,276.36,23.5,216,12,Lima,0,PROFESIONAL,joven
0,2,FAMILIAR,29,2002-08-01,0,12,3000.0,0.0,2593.17,200,8,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,27,2004-04-01,21,12,2250.0,149.33,0.0,198,11,Lima,0,TECNICO,joven
